dates,adjusted,open,high,low,close,betaYearDay,sigmaDay60,pbr,institutional,foreigners,kodexGBond3Year,vkospi200,wonPerYen,wonPerDollar,dowjones,shanghai,goldFuture,wtiNY,kospi,kospi200IT,logreturn,lrClass
2010-09-03,21800,21300,21950,21300,21800,1.243622,0.000684,2.36,3553,1482,52900,16.8,1391.469194,1174.4,10447.93,2655.39,1249.2,74.4,1780.02,1257.97,0.002290952,2
2010-09-06,21850,22200,22450,21750,21850,1.235944,0.000683,2.36,-808,1595,52850,16.55,1392.293077,1172.45,10447.93,2696.25,1249.2,74.4,1792.42,1261.89,-0.016147986,0
2010-09-07,21500,21750,21950,21300,21500,1.237515,0.000652,2.33,-1529,758,52910,16.72,1407.792518,1177.9,10340.69,2698.36,1257.3,73.9,1787.74,1258.85,-0.035506688,0
2010-09-08,20750,21100,21200,20500,20750,1.246391,0.000666,2.24,-5117,655,52975,16.64,1397.15171,1172.35,10387.01,2695.29,1255.6,74.8,1779.22,1244.51,-0.021925361,0
2010-09-09,20300,20800,21050,20100,20300,1.247499,0.000647,2.2,-2951,1466,53245,16.66,1394.208955,1167.65,10415.24,2656.35,1248.9,74.3,1784.36,1248.08,0.017094433,3
2010-09-10,20650,20500,20800,20350,20650,1.250767,0.000655,2.23,17,854,53240,15.87,1383.054468,1165.5,10462.77,2663.21,1244.5,76.5,1802.58,1254.1,-0.007290433,1
2010-09-13,20500,20650,21000,20400,20500,1.247756,0.000654,2.22,-605,1430,52870,15.22,1383.422779,1160,10544.13,2688.32,1245.1,77.3,1818.86,1249.69,-0.002442004,1
2010-09-14,20450,21100,21250,20300,20450,1.236361,0.000636,2.21,-349,1411,52885,15.65,1398.613623,1160.15,10526.49,2688.52,1269.7,76.7,1815.25,1226.86,0.026539555,3
2010-09-15,21000,20700,21000,20350,21000,1.236337,0.000652,2.27,1898,578,52885,15.49,1353.329439,1158.45,10572.73,2652.5,1266.7,75.6,1823.88,1230.29,0.004750603,2
2010-09-16,21100,20900,21300,20800,21100,1.245887,0.000653,2.28,1616,549,52910,15.9,1358.101798,1163.35,10594.83,2602.47,1271.9,74.6,1811.85,1228.38,0.064242269,3
2010-09-17,22500,21400,22500,21350,22500,1.262979,0.000724,2.43,3533,5659,52860,15.32,1353.04743,1161.05,10607.85,2598.69,1275.6,73.6,1827.35,1262.25,-0.017937701,0
2010-09-20,22100,22600,22650,22000,22100,1.262931,0.000726,2.39,-42,292,52825,16.27,1354.460641,1161.45,10753.62,2588.71,1279,74.9,1832.63,1258.79,-0.046304568,0
2010-09-24,21100,21700,21750,21050,21100,1.240704,0.000752,2.28,-1061,1824,52935,16.47,1371.705058,1155.25,10860.26,2588.71,1296,75.1,1846.6,1238.3,0.004728141,2
2010-09-27,21200,21550,21800,21100,21200,1.234087,0.000747,2.29,-1032,1464,53015,16.56,1361.909285,1147,10812.04,2627.97,1296.7,76.5,1860.83,1244.59,0.007050558,2
2010-09-28,21350,21250,21650,21100,21350,1.238049,0.000742,2.31,-59,476,53050,16.55,1367.461263,1147.3,10858.14,2611.35,1306.6,76.2,1855.97,1240.76,0.023149182,3
